order_month,payment_value,moving_avg_3
2016-10-01,61651.02,
2016-12-01,19.62,
2017-01-01,172487.07,78052.57
2017-02-01,313470.32,161992.33666666667
2017-03-01,496731.66,327563.01666666666
2017-04-01,444457.76,418219.91333333333
2017-05-01,687145.8,542778.4066666667
2017-06-01,577595.09,569732.8833333334
2017-07-01,711168.83,658636.5733333334
2017-08-01,835079.65,707947.8566666668
2017-09-01,985552.7,843933.7266666667
2017-10-01,972010.21,930880.8533333334
2017-11-01,1530815.84,1162792.9166666667
2017-12-01,1001835.6,1168220.55
2018-01-01,1342632.07,1291761.1700000002
2018-02-01,1262297.87,1202255.1800000002
2018-03-01,1412277.5,1339069.1466666667
2018-04-01,1456300.41,1376958.5933333335
2018-05-01,1475249.63,1447942.5133333334
2018-06-01,1282453.0,1404667.68
2018-07-01,1300181.74,1352628.1233333333
2018-08-01,1208201.15,1263611.9633333334
